Pair Address,Price (USD),FDV,Market Cap,Liquidity (USD),M5 Buys,M5 Sells,H1 Buys,H1 Sells,H6 Buys,H6 Sells,H24 Buys,H24 Sells,Volume M5,Volume H1,Volume H6,Volume H24
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0009972,997270,997270,145709.11,114,116,2007,1750,13616,11226,47423,35031,22131.37,476530.75,4209811.84,12921763.61
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0009277,927697,927697,140468.08,105,104,1984,1726,13605,11225,47434,35043,20167.16,469946.44,4203940.37,12925147.12
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0008983,898313,898313,138211.26,131,116,1994,1726,13627,11241,47484,35072,27709.75,475987.15,4208824.36,12935601.24
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0009226,922642,922642,140327.02,114,113,1958,1718,13619,11255,47523,35119,25043.78,475710.56,4200315.79,12942963.97
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0009230,923041,923041,140106.84,127,103,1966,1711,13634,11262,47555,35137,25461.34,477193.4,4202699.43,12948475.12
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0009305,930504,930504,140878.67,124,110,1956,1711,13632,11266,47576,35162,24351.36,477336.45,4200794.7,12953384.21
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0009071,907112,907112,139038.53,100,105,1953,1715,13628,11284,47596,35192,17405.54,473591.52,4196027.67,12955259.31
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0008274,827411,827411,132893.3,154,133,2007,1743,13682,11312,47650,35220,32643.87,488829.85,4211266,12970497.64
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0008804,880398,880398,137046.85,138,118,1960,1718,13689,11324,47693,35257,28927.68,480530.16,4209777.8,12977657.84
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0008759,875910,875910,136837.48,140,123,1946,1722,13693,11339,47716,35285,34086.61,475261.63,4217469.77,12987470.82
